periodo;fecha;hora;autopista;banda_y_o_ramal;pk;long_estacion;lat_estacion;condiciones_meteorologicas;superficie_de_la_via;lesionados;fallecidos;tipo_de_siniestro;moto;liviano;bus;camion
201612;12/8/2016;17;AU DELLEPIANE;ASCENDENTE;900;-584.066.133.884.138;-346.400.292.426.058;BUENO;SECA;4;0;COLISION CON OBSTACULO FIJO;0;1;0;0
201612;12/8/2016;18;AU DELLEPIANE;ASCENDENTE;1000;-5.838.257.045.923.660;-34.594.099.836.289;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
201612;12/9/2016;7;AU 25 DE MAYO;ASCENDENTE;3500;-583.795.661.232.215;-346.002.957.825.126;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;12/9/2016;15;AU PERTIO MORENO;ASCENDENTE;2000;-583.807.669.356.213;-346.105.722.194.484;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;0;1;0;0
201612;12/9/2016;17;AU 25 DE MAYO;ASCENDENTE;700;-58.416.065.021.838.500;-345.895.207.284.602;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
201612;12/9/2016;20;AU DELLEPIANE;ASCENDENTE;900;-583.636.035.935.707;-346.010.006.869.203;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
201612;12/9/2016;23;AU DELLEPIANE;DESCENDENTE;2200;-5.838.989.599.839.620;-345.995.678.801.944;BUENO;SECA;5;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
201612;12/12/2016;9;AU DELLEPIANE;DESCENDENTE;1200;-58.412.398.197.949.200;-346.228.502.511.336;BUENO;SECA;1;0;OBSTACULO NO FIJO;1;0;0;0
201612;12/12/2016;9;AU DELLEPIANE;ASCENDENTE;2800;-584.345.767.879.498;-346.084.590.356.008;BUENO;SECA;3;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
201612;12/12/2016;11;AU PERTIO MORENO;ASCENDENTE;5400;-583.973.783.649.902;-345.903.936.115.174;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
201612;13/12/2016;7;AU 25 DE MAYO;ASCENDENTE;4500;-58.439.709.218.240.200;-34.603.162.361.388.600;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;13/12/2016;8;AU 25 DE MAYO;ASCENDENTE;1500;-58.373.531.429.153.200;-34.607.727.795.686.100;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;2;1;0;0
201612;13/12/2016;11;AU 25 DE MAYO;ASCENDENTE;5800;-58.398.717.085.205.700;-345.971.266.094.165;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;13/12/2016;12;AU 25 DE MAYO;ASCENDENTE;4000;-58.374.157.286.157.700;-345.995.794.260.034;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
201612;13/12/2016;16;AU DELLEPIANE;DESCENDENTE;2000;-583.718.578.675.869;-34.596.327.388.790.900;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;2;1;0
201612;13/12/2016;20;AV CANTILO;ASCENDENTE;8600;-583.765.960.288.027;-346.053.688.674.684;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
201612;14/12/2016;15;AU DELLEPIANE;DESCENDENTE;1200;-583.778.640.062.235;-3.460.791.436.370.980;BUENO;SECA;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;0;1;0;0
201612;15/12/2016;1;AU PERTIO MORENO;DESCENDENTE;5000;-583.828.953.844.952;-345.969.901.800.416;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0
201612;15/12/2016;11;AU 25 DE MAYO;ASCENDENTE;5900;;;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;0
201612;15/12/2016;14;AU DELLEPIANE;DESCENDENTE;2300;-583.876.529.230.089;-346.089.915.917.558;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
201612;15/12/2016;16;AU ILLIA;DESCENDENTE;2400;-58.373.371.100.742;-346.043.980.605.276;BUENO;SECA;2;0;COLISION CON DOS O MAS VEHICULOS;0;3;0;0
201612;16/12/2016;5;AU 25 DE MAYO;DESCENDENTE;5500;-584.075.919.835.788;-34.636.519.409.884;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0
