id_estacion;nombre_estacion;long_estacion;lat_estacion;domicilio_estacion;tipo_estacion;observaciones;horario_estacion
93.0;Carlos Calvo;-5.839.476.949.340.070;-346.206.013.403.211;Carlos Calvo y Sarandí;AUTOMÁTICA;abr-17;Estación automática: disponibilidad las 24 horas
94.0;Guzmán;-58.449.442.063.758.700;-345.918.191.166.975;Guzmán y Leiva;AUTOMÁTICA;Nueva estación! - Enero 2016;Estación automática: disponibilidad las 24 horas
95.0;Esmeralda;-583.781.735.400.286;-346.020.919.024.436;Esmeralda 510;AUTOMÁTICA;Nueva estación! - Febrero 2016;Estación automática: disponibilidad las 24 horas
96.0;Carlos Gardel;-584.115.848.948.388;-34.602.891.143.934;Guardia Vieja 3302;AUTOMÁTICA;jun-16;Estación automática: disponibilidad las 24 horas
97.0;Avelino Díaz;-584.274.014.111.176;-346.352.502.807.008;Avelino Díaz 499 y Doblas;AUTOMÁTICA;Nueva! Septiembre 2016;Estación automática: disponibilidad las 24 horas
98.0;Moreno;-58.378.121.718.966.800;-346.117.139.986.102;Moreno 834 entre Tacuarí y Piedras;AUTOMÁTICA;jul-16;Estación automática: disponibilidad las 24 horas
99.0;Malabia;-58.435.615.487.267.200;-345.962.805.421.679;Malabia 780 y Loyola;AUTOMÁTICA;jun-16;Estación automática: disponibilidad las 24 horas
100.0;Castillo;-584.367.711.514.498;-34.592.706.718.923.300;Castillo 815 entre Thames y Serrano;AUTOMÁTICA;mar-17;Estación automática: disponibilidad las 24 horas
101.0;Fitz Roy;-584.424.227.041.164;-345.890.491.463.383;Fitz Roy 1092 y Loyola;AUTOMÁTICA;ene-17;Estación automática: disponibilidad las 24 horas
102.0;Roseti;-584.459.867.498.295;-345.864.398.918.839;Roseti 50 y Av Dorrego;AUTOMÁTICA;sep-17;Estación automática: disponibilidad las 24 horas
103.0;Malba;-584.035.331.506.686;-345.774.146.206.859;Av Figueroa Alcorta y San Martín de Tours;AUTOMÁTICA;abr-17;Estación automática: disponibilidad las 24 horas
104.0;Federico Lacroze;-584.550.621.945.096;-345.875.483.636.412;Av Corrientes 6800 y Federico Lacroze;AUTOMÁTICA;abr-17;Estación automática: disponibilidad las 24 horas
105.0;15 de Noviembre;-584.009.623.109.061;-346.339.776.263.697;15 de Noviembre de 1889 2687 entre Catamarca y Jujuy;AUTOMÁTICA;mar-17;Estación automática: disponibilidad las 24 horas
106.0;Rincón;-583.958.974.659.054;-346.151.962.004.792;Venezuela 2091 y Rincón;AUTOMÁTICA;dic-16;Estación automática: disponibilidad las 24 horas
107.0;Hospital Garrahan;-583.959.443.595.269;-34.630.437.687.185;Hospital Garrahan: Av Brasil y Pichincha;AUTOMÁTICA;may-17;Estación automática: disponibilidad las 24 horas
108.0;Usina del Arte;-5.835.625.741.449.920;-346.287.807.815.099;Caffarena Agustín y Don Pedro de Mendoza;AUTOMÁTICA;ene-17;Estación automática: disponibilidad las 24 horas
109.0;Lerma;-584.295.906.822.899;-345.966.937.447.772;Lerma 185 y Julián Álvarez;AUTOMÁTICA;mar-17;Estación automática: disponibilidad las 24 horas
